sku,name,active,variants,variantType,variantName,price,discountedPrice,purchasePrice,quantity,shippingWt,minQuanity,maxQuantity,productDescription,hsnCode,gst,color,keywords,out_of_stock
CK0038,Dark chocolate cake and Flowers,NO,NO,variant,,2899,2899,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0036,Blackforest cake and Chocolates and flowers,NO,NO,variant,,2699,2699,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0035,vanilla cake- chocolates ,NO,NO,variant,,1199,1199,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0034,cake and Chocolates,NO,NO,variant,,1499,1499,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0033,Chocolate cake And Bamboo,NO,NO,variant,,899,899,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0032,Red Roses And Chocolate cake,NO,NO,variant,,1249,1249,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0031,Red Velvet Anniversary cake,NO,NO,variant,,949,949,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0030,Avengers Vanilla Photo cake,NO,NO,variant,,1449,1449,0,10,0,,,"<p>1kg</p>
",,,,,NO
CK0029,Photo cake For Kid,YES,NO,other,,799,799,0,10,0,1,10,"<p>good product</p>
",,,,,NO
CK0028,Spiderman Vanilla Photo cake,YES,NO,other,,749,749,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0027,Pubg Photo cake,YES,NO,other,,749,749,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0026,Couple Photo cake,YES,NO,other,,799,799,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0024,Ben 10 Photo cake,YES,NO,other,,749,749,0,10,0,1,10,"<p>1kg&nbsp;</p>
",,,,,NO
CK0023,Kitkat Photo cake,YES,NO,other,,2499,2499,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0022,Heart Shape Photo cake,YES,NO,other,,1549,1549,0,10,0,1,10,"<p>1kg</p>
",,,,,NO
CK0021,Fruit cake,NO,NO,variant,,999,999,0,10,0,1,10,"<p>good product</p>
",,,,"eggless cake,cake",NO
CK0020,Chocolate Truffle cake,NO,NO,variant,,699,699,0,10,0,1,10,"<p>1 kg</p>
",,,,"cake,eggless cake",NO
CK0019,Strawberry Vanilla Heart Shape cake,NO,NO,variant,,799,799,0,10,0,1,10,"<p>good product</p>
",,,,cake,NO
CK0018,Butterscotch cake,NO,NO,variant,,699,699,0,10,0,1,10,"<p>1kg</p>
",,,,cake,NO
CK0017,Choco Vanilla Fusion cake,NO,NO,variant,,899,899,0,10,0,1,10,"<p>1kg</p>
",,,,cake,NO
CK0016,Choco Vanilla cake,NO,NO,variant,,799,799,0,10,0,1,10,"<p>good product</p>
",,,,,NO
CK0015,Butter Scotch cake,NO,NO,variant,,599,599,0,10,0,1,10,"<p>1kg</p>
",,,,cake,NO
CK0014,Pineapple cake,NO,NO,variant,,599,599,0,10,0,1,10,"<p>1 kg</p>
",,,,cake,NO
CK0013,Black Forest cake,NO,NO,variant,,599,599,0,10,0,1,10,"<p>good product</p>
",,,,,NO
BK049,"Classmate Notebook - A4, Ruled, Single Line 240PAGES",YES,NO,variant,,80,80,80,10,0,1,10,"<p>goog quality</p>
",,,,,NO
BK048,Stapler Pin Pack - 24/6 20 pcs,YES,NO,variant,,340,340,340,10,0,1,10,"<p>good product</p>
",,,,,NO
BK047,"Tape - Transparent, 5K, 2 inches",YES,NO,variant,,15,15,15,1,0,1,10,"<p>nice product</p>
",,,,,NO
BK046,Kores Glue Stick Non Toxic - Big,YES,NO,variant,,30,30,30,10,0,1,10,"<p>nice product</p>
",,,,,NO
BK045,Sketch Pen - Assorted Set,YES,NO,variant,,30,29,29,10,0,1,10,"<p>nice product</p>
",,,,,NO
BK044,"Doms Colour Pencil box - 12 Colours, 12 pcs",YES,NO,variant,,50,50,50,10,0,1,10,"<p>nice product</p>
",,,,,NO
BK043,"Cello Ball Pen - Blue, Benz, 1 pc",YES,NO,variant,,45,45,45,10,0,1,10,"<p>good product</p>
",,,,,NO
BK042,"Classmate Notebook - A4, Unruled, 140 Pages",YES,NO,variant,,69,69,69,1,0,1,10,"<p>nice product</p>
",,,,,NO
BK041,"Cello Techno Tip Ballpoint Pens Blue, 10 pcs",YES,NO,variant,,100,100,100,1,0,1,10,"<p>good quality</p>
",,,,,NO
BK0102,"Camlin DVD OHP marker, 5pcs",YES,NO,variant,,100,100,100,10,0,1,10,"<p>good product</p>
",,,,,NO
BK040,Luxor CD/DVD/OHP Marker Pen 1PC,YES,NO,variant,,60,60,60,10,0,1,10,"<p>nice&nbsp; product&nbsp;</p>
",,,,,NO
BK039,Techno Tip Ballpoint Pens Black 10PCS,YES,NO,variant,,115,115,115,10,0,1,10,"<p>good product</p>
",,,,,NO
BK038,Ball Pen - Brite Black5 pcs,YES,NO,variant,,29,29,29,10,0,1,10,"<p>good product</p>
",,,,,NO
BK037,"Ballpoint Pen - Black, Pinpoint 10 pcs",YES,NO,variant,,99,99,99,10,0,1,10,"<p>good product</p>
",,,,,NO
BK036,Fingergrip Ball Pen Black5 pcs,YES,NO,variant,,50,50,50,10,0,1,10,"<p>good product</p>
",,,,,NO
BK035,Permanent Marker - Black 1PC,YES,NO,variant,,25,25,25,10,0,1,10,"<p>good product</p>
",,,,,NO
BK034,Platinum Extra Dark Pencils,YES,NO,variant,,60,60,60,10,0,1,10,"<p>good product</p>
",,,,,NO
BK033,"Rubber Bands - Nylon, Assorted Colour, 1 inch",YES,NO,variant,,19,19,19,10,0,1,10,"<p>good product</p>
",,,,,NO
BK032,Stapler 10,YES,NO,variant,,50,50,50,10,0,1,10,"<p>good product</p>
",,,,,NO
BK031,Camel Scholar Mathematical Drawing Instruments,YES,NO,variant,,119,119,119,10,0,1,10,"<p>good product</p>
",,,,,NO
