,name,price,MRP
0,"Classmate Notebook - A4, Ruled, Single Line 240PAGES",tem_notavalable,
1,Stapler Pin Pack - 24/6 20 pcs,tem_notavalable,
2,Medimix Glycerine & Lakshadi Oil Transparent Soap 125 g (Pack of 4), 186.00,200.0
3,Varalakshmi Sabudana / Sago 500 g, 45.00,70.0
4,Glimmer Assorted Make-Up Brushes (Set of 5), 99.50,199.0
5,Glimmer Tik Tak Small Colour Clip 12 pcs, 19.50,39.0
6,Colgate Maxfresh Peppermint Ice Blue Anticavity Toothpaste 150 g (Pack of 2), 113.34,170.0
7,"Classmate Notebook - A4, Unruled, 140 Pages",tem_notavalable,
8,Park Avenue Original Collection Cool Blue Lather Shaving Cream 60 g (Get 40% Extra Free), 54.00,69.0
9,"Camlin DVD OHP marker, 5pcs",tem_notavalable,
10,Luxor CD/DVD/OHP Marker Pen 1PC,tem_notavalable,
11,Glimmer Tik Tak Regular Black Clip 10 pcs, 25.00,50.0
12,Catch Black Pepper Powder 50 g, 80.00,100.0
13,Permanent Marker - Black 1PC,tem_notavalable,
14,Platinum Extra Dark Pencils,tem_notavalable,
15,Garden Nylon Sev 175 g, 42.00,55.0
16,Aashirvaad Whole Wheat Atta 10 kg, 375.00,450.0
17,Camel Scholar Mathematical Drawing Instruments,tem_notavalable,
18,Elly Assorted Netted Type Elastic Hairpin, 44.10,49.0
19,Muffets And Tuffets White Bread 400 g, 22.50,45.0
20,Johnson's Baby Care Green Gift Collection Set 5 pcs, 195.30,210.0
21,SNDIA 5-PACK Multicolor Mesh Zippered Pen Pencil Case & Travel Pouch (24 X 12 cm),tem_notavalable,
22,GOLD LEAF Printed Tape Small Handheld Designed Art & Craft Tape Assorted Designs (Set Of 100),tem_notavalable,
23,liberty fs size white long note book 180pgs,tem_notavalable,
24,liberty FS size book 200pgs,tem_notavalable,
25,iDream 180 Pages Sticker Mini Animal Sticky Notes Four Fold Memo Pad School Stationery Supplies,tem_notavalable,
26,Mr Muscle Lemon Kitchen Cleaner Spray 500 ml, 113.50,130.0
27,Staedtler Triangular Ball Pen (Set Of 10 Colours),tem_notavalable,
28,Santoor Classic Gentle Hand Wash 750 ml (Pack of 2), 180.90,201.0
29,Apsara Marvel Avengers Extra Dark Pencils - Pack of 10 4.1 out of 5 stars 112,tem_notavalable,
30,mvr white long note 120pgs,tem_notavalable,
31,Britannia Nice Time Coconut Biscuits 73 g, 9.30,10.0
32,"Kabeer Art Sticky Notes & Page Markers Binder Pack, 250 Assorted Size Notes, 125 Page Markers, 25 X 19 cm, Assorted Colors 3.1 out of 5 stars 41",tem_notavalable,
33,Weikfield Freeze Vanilla Icecream Mix Powder 100 g, 40.00,50.0
34,Plain 4 pcs Cashews Value Pack 500 g, 259.00,300.0
35,Sweet bun 1pc,tem_notavalable,
36,Sofit Kesar Pista Flavoured Soya Milk 1 L (Tetra Pak), 110.50,130.0
37,Badam rolls 500gms,tem_notavalable,
38,kwality walls Cornetto - Disc Black Forest Frozen Dessert,tem_notavalable,
39,Lotte Choco Pie Creamfilled Biscuit 336 g, 109.00,140.0
40,Pillsbury Vanilla Oven Cake Mix 225 g, 132.00,165.0
41,arun ice cream cone raspberry,tem_notavalable,
42,24 Mantra Organic Besan 500 g, 59.50,85.0
43,Lakme Blush & Glow Strawberry Blast Face Wash 50 g, 102.30,110.0
44,Vega Mini Paddle Brush (8586M), 195.30,210.0
45,Cornetto - Double Chocolate Frozen Dessert115 ml,tem_notavalable,
46,"BBlunt Salon Secret Ammonia Free Creme Hair Colour, Chocolate Dark Brown (3) (100 g + 8 ml)", 185.07,199.0
47,kwality walls paddle pop orange maha bar,tem_notavalable,
48,"Hair & Care Moisturising Fruit Oils With Green Apple, Olive & Mosambi Hair Oil 300 ml", 210.00,235.0
49,Lays Indian Magic Masala Chips 130 g, 40.00,50.0
50,Knorr Classic Thick Tomato Soup 53 g, 51.15,55.0
51,Sugar Free Dark Chocolate- 55% Rich In Cocoa,tem_notavalable,
52,Del Monte Food Craft Fusilli Pasta 500 g, 117.00,130.0
53,Lays Classic Salted Chips 130 g, 40.00,50.0
54,Ching's Secret Schezwan Chutney 250 g, 68.00,80.0
55,Ching's Secret Veg Hakka Noodles 150 g (Pouch), 25.00,30.0
